FQ.X FQ.X:FP.C
FQ.Y FQ.Y:GQ.A
FQ.Y FQ.Y:EQ.D

FR.X FR.X:FS.B
FR.X FR.X:FQ.C
FR.Y FR.Y:GR.A
FR.Y FR.Y:ER.D

FS.X FS.X:FT.B
FS.X FS.X:FR.C
FS.Y FS.Y:GS.A
FS.Y FS.Y:ES.D

FT.X FT.X:FU.B
FT.X FT.X:FS.C
FT.Y FT.Y:GT.A
FT.Y FT.Y:ET.D

FU.X FU.X:FV.B
FU.X FU.X:FT.C
FU.Y FU.Y:GU.A
FU.Y FU.Y:EU.D

FV.X FV.X:FU.C
FV.Y FV.Y:GV.A
FV.Y FV.Y:EV.D

GA.X GA.X:GB.B
GA.Y GA.Y:HA.A
GA.Y GA.Y:FA.D

GB.X GB.X:GC.B
GB.X GB.X:GA.C
GB.Y GB.Y:HB.A
GB.Y GB.Y:FB.D

GC.X GC.X:GD.B
GC.X GC.X:GB.C
GC.Y GC.Y:HC.A
GC.Y GC.Y:FC.D

GD.X GD.X:GE.B
GD.X GD.X:GC.C
GD.Y GD.Y:HD.A
GD.Y GD.Y:FD.D

GE.X GE.X:GF.B
GE.X GE.X:GD.C
GE.Y GE.Y:HE.A
GE.Y GE.Y:FE.D

GF.X GF.X:GG.B
GF.X GF.X:GE.C
GF.Y GF.Y:HF.A
GF.Y GF.Y:FF.D

GG.X GG.X:GH.B
GG.X GG.X:GF.C
GG.Y GG.Y:HG.A
GG.Y GG.Y:FG.D

GH.X GH.X:GI.B
GH.X GH.X:GG.C
GH.Y GH.Y:HH.A
GH.Y GH.Y:FH.D

GI.X GI.X:GJ.B
GI.X GI.X:GH.C
GI.Y GI.Y:HI.A
GI.Y GI.Y:FI.D

GJ.X GJ.X:GK.B
GJ.X GJ.X:GI.C
GJ.Y GJ.Y:HJ.A
GJ.Y GJ.Y:FJ.D

GK.X GK.X:GL.B
GK.X GK.X:GJ.C
GK.Y GK.Y:HK.A
GK.Y GK.Y:FK.D

GL.X GL.X:GM.B
GL.X GL.X:GK.C
GL.Y GL.Y:HL.A
GL.Y GL.Y:FL.D

GM.X GM.X:GN.B
GM.X GM.X:GL.C
GM.Y GM.Y:HM.A
GM.Y GM.Y:FM.D

GN.X GN.X:GO.B
GN.X GN.X:GM.C
GN.Y GN.Y:HN.A
GN.Y GN.Y:FN.D

GO.X GO.X:GP.B
GO.X GO.X:GN.C
GO.Y GO.Y:HO.A
GO.Y GO.Y:FO.D

GP.X GP.X:GQ.B
GP.X GP.X:GO.C
GP.Y GP.Y:HP.A
GP.Y GP.Y:FP.D

GQ.X GQ.X:GR.B
GQ.X GQ.X:GP.C
GQ.Y GQ.Y:HQ.A
GQ.Y GQ.Y:FQ.D

GR.X GR.X:GS.B
GR.X GR.X:GQ.C
GR.Y GR.Y:HR.A
GR.Y GR.Y:FR.D

GS.X GS.X:GT.B
GS.X GS.X:GR.C
GS.Y GS.Y:HS.A
GS.Y GS.Y:FS.D

GT.X GT.X:GU.B
GT.X GT.X:GS.C
GT.Y GT.Y:HT.A
GT.Y GT.Y:FT.D

GU.X GU.X:GV.B
GU.X GU.X:GT.C
GU.Y GU.Y:HU.A
GU.Y GU.Y:FU.D

GV.X GV.X:GU.C
GV.Y GV.Y:HV.A
GV.Y GV.Y:FV.D

HA.X HA.X:HB.B
HA.Y HA.Y:IA.A
HA.Y HA.Y:GA.D

HB.X HB.X:HC.B
HB.X HB.X:HA.C
HB.Y HB.Y:IB.A
HB.Y HB.Y:GB.D

HC.X HC.X:HD.B
HC.X HC.X:HB.C
HC.Y HC.Y:IC.A
HC.Y HC.Y:GC.D

HD.X HD.X:HE.B
HD.X HD.X:HC.C
HD.Y HD.Y:ID.A
HD.Y HD.Y:GD.D

HE.X HE.X:HF.B
HE.X HE.X:HD.C
HE.Y HE.Y:IE.A
HE.Y HE.Y:GE.D

HF.X HF.X:HG.B
HF.X HF.X:HE.C
HF.Y HF.Y:IF.A
HF.Y HF.Y:GF.D

HG.X HG.X:HH.B
HG.X HG.X:HF.C
HG.Y HG.Y:IG.A
HG.Y HG.Y:GG.D

HH.X HH.X:HI.B
HH.X HH.X:HG.C
HH.Y HH.Y:IH.A
HH.Y HH.Y:GH.D

HI.X HI.X:HJ.B
HI.X HI.X:HH.C
HI.Y HI.Y:II.A
HI.Y HI.Y:GI.D

HJ.X HJ.X:HK.B
HJ.X HJ.X:HI.C
HJ.Y HJ.Y:IJ.A
HJ.Y HJ.Y:GJ.D

HK.X HK.X:HL.B
HK.X HK.X:HJ.C
HK.Y HK.Y:IK.A
HK.Y HK.Y:GK.D

HL.X HL.X:HM.B
HL.X HL.X:HK.C
HL.Y HL.Y:IL.A
HL.Y HL.Y:GL.D

HM.X HM.X:HN.B
HM.X HM.X:HL.C
HM.Y HM.Y:IM.A
HM.Y HM.Y:GM.D

HN.X HN.X:HO.B
HN.X HN.X:HM.C
HN.Y HN.Y:IN.A
HN.Y HN.Y:GN.D

HO.X HO.X:HP.B
HO.X HO.X:HN.C
HO.Y HO.Y:IO.A
HO.Y HO.Y:GO.D

