P64 TRI frame 41 bit 70: 0x00000000000000000, 0b001
P64 TRI frame 42 bit 70: 0x00000000000000000, 0b001
P64 Q frame 40 bit 70: 0x00000000000000000, 0b001

P65 ON frame 57 bit 70: 0x00000000000000000, 0b000
P65 TRI frame 56 bit 70: 0x00000000000000000, 0b001
P65 Q frame 54 bit 70: 0x00000000000000000, 0b001

P66 ON frame 62 bit 70: 0x00000000000000000, 0b001
P66 TRI frame 61 bit 70: 0x00000000000000000, 0b001
P66 TRI frame 62 bit 70: 0x00000000000000000, 0b001
P66 Q frame 60 bit 70: 0x00000000000000000, 0b001

P67 ON frame 75 bit 70: 0x00000000000000000, 0b000
P67 TRI frame 74 bit 70: 0x00000000000000000, 0b001
P67 Q frame 72 bit 70: 0x00000000000000000, 0b001

P68 ON frame 80 bit 70: 0x00000000000000000, 0b001
P68 TRI frame 79 bit 70: 0x00000000000000000, 0b001
P68 TRI frame 80 bit 70: 0x00000000000000000, 0b001
P68 Q frame 78 bit 70: 0x00000000000000000, 0b001

